B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
JS0134,El-Saidy,2011,Aquaculture Nutrition,10.1111/j.1365-2095.2010.00810.x,
JS0137,El-Sayed,2003,Aquaculture,10.1016/s0044-8486(02)00252-1,
JS0140,Omer,2010,Tropical Animal Health and Production,10.1007/s11250-010-9548-8,
JS0167,Talib,2008,Journal of Animal and Veterinary Advances,,https://medwelljournals.com/abstract/?doi=javaa.2008.1467.1473
JS0172,Goromela,1997,Livestock Production Science,10.1016/s0301-6226(96)01399-1,
JS0176,Kakengi,2001,Agroforestry Systems,10.1023/a:;1010642531865,
JS0177,Karachi,1998,Agroforestry Systems,10.1023/a:;1005859617603,
JS0192,Mtenga,1990,Small Ruminant Research,10.1016/0921-4488(90)90026-3,
JS0196,Ndemanisho,2006,Agroforestry Systems,10.1007/s10457-005-2648-1,
JS0197,Ndemanisho,1998,Animal Feed Science and Technology,10.1016/s0377-8401(98)00139-4,
JS0201.1,Plaizier,1999,Asian-Australasian Journal of Animal Sciences,10.5713/ajas.1999.735,
JS0201.2,Plaizier,1999,Asian-Australasian Journal of Animal Sciences,10.5713/ajas.1999.735,
JS0205,Rubanza,2005,Agroforestry Systems,10.1007/s10457-005-0503-z,
JS0206,Rubanza,2007,Small Ruminant Research,10.1016/j.smallrumres.2006.02.008,
JS0207,Safari,2011,Tropical Animal Health and Production,10.1007/s11250-010-9658-3,
JS0208,Safari,2011,Livestock Science,10.1016/j.livsci.2010.07.003,
JS0209,Sarwatt,1990,Animal Feed Science and Technology,10.1016/0377-8401(90)90067-i,
JS0210.1,Sarwatt,1992,Small Ruminant Research,10.1016/0921-4488(92)90063-a,
JS0210.2,Sarwatt,1992,Small Ruminant Research,10.1016/0921-4488(92)90063-a,
JS0211,Sarwatt,2002,Agroforestry Systems,,https://link.springer.com/content/pdf/10.1023/A:1021396629613.pdf?pdf=button%20sticky
JS0213.1,Shayo,1997,Tropical Grasslands,,https://www.researchgate.net/publication/286951563_Comparison_of_water_melon_Citrullus_vulgaris-seed_meal_Acacia_tortilis_pods_and_sunflower-seed_cake_supplements_in_central_Tanzania_2_Effect_on_hay_intake_and_milk_yield_and_composition_of_Mpwapwa_cow
JS0214,Shem,2003,Agroforestry Systems,10.1023/a:;1025454425048,
JS0215.1,Shem,2003,Animal Feed Science and Technology,10.1016/S0377-8401(03)00167-6,
JS0215.2,Shem,2003,Animal Feed Science and Technology,10.1016/S0377-8401(03)00167-6,
